Etc/UTC,Open,High,Low,Close,Volume
2006-01-02T04:55:00+00:00,1.18447,1.18448,1.18429,1.18438,421400000
2006-01-02T04:56:00+00:00,1.18448,1.18448,1.18436,1.18436,423600000
2006-01-02T04:57:00+00:00,1.18447,1.1845,1.18428,1.18441,435400000
2006-01-02T04:58:00+00:00,1.18434,1.18448,1.18433,1.18442,233300000
2006-01-02T04:59:00+00:00,1.18445,1.18448,1.1843,1.18444,550100000
2006-01-02T05:00:00+00:00,1.1843,1.18443,1.1843,1.18436,383800000
2006-01-02T05:01:00+00:00,1.18441,1.18451,1.18433,1.18444,476100000
2006-01-02T05:02:00+00:00,1.18437,1.18454,1.18437,1.18454,371900000
2006-01-02T05:03:00+00:00,1.18448,1.18453,1.18436,1.18448,305300000
2006-01-02T05:04:00+00:00,1.18433,1.18449,1.18423,1.18441,525700000
2006-01-02T05:05:00+00:00,1.18435,1.18449,1.18431,1.18441,404000000
2006-01-02T05:06:00+00:00,1.18437,1.1845,1.18435,1.18443,621000000
2006-01-02T05:07:00+00:00,1.18435,1.18441,1.18435,1.18439,111000000
2006-01-02T05:08:00+00:00,1.18439,1.18447,1.18439,1.18447,99600000
2006-01-02T05:09:00+00:00,1.18438,1.18447,1.18435,1.18443,324300000
2006-01-02T05:10:00+00:00,1.18436,1.18452,1.18435,1.18438,619300000
2006-01-02T05:11:00+00:00,1.1844,1.18449,1.18437,1.1844,269100000
2006-01-02T05:12:00+00:00,1.18452,1.18452,1.18428,1.18428,470200000
2006-01-02T05:13:00+00:00,1.18432,1.18454,1.18432,1.18446,745300000
2006-01-02T05:14:00+00:00,1.18443,1.18445,1.18422,1.18422,687500000
2006-01-02T05:15:00+00:00,1.1844,1.18447,1.18432,1.18441,428400000
2006-01-02T05:16:00+00:00,1.18439,1.1845,1.18436,1.18441,134100000
2006-01-02T05:17:00+00:00,1.18444,1.18451,1.18425,1.18443,616900000
