Etc/UTC,Open,High,Low,Close,Volume
2006-01-02T11:46:00+00:00,1.72255,1.72264,1.72255,1.72261,39600000
2006-01-02T11:47:00+00:00,1.72258,1.72262,1.72253,1.72253,61600000
2006-01-02T11:48:00+00:00,1.72254,1.72268,1.72254,1.72265,80000000
2006-01-02T11:49:00+00:00,1.72257,1.72262,1.72244,1.72257,68400000
2006-01-02T11:50:00+00:00,1.72261,1.72264,1.72261,1.72262,48400000
2006-01-02T11:51:00+00:00,1.72262,1.72272,1.72262,1.72268,33200000
2006-01-02T11:52:00+00:00,1.72266,1.72271,1.72261,1.72262,28700000
2006-01-02T11:53:00+00:00,1.72257,1.72272,1.72257,1.72272,41500000
2006-01-02T11:54:00+00:00,1.72268,1.72268,1.72257,1.72259,54600000
2006-01-02T11:55:00+00:00,1.72253,1.72266,1.72253,1.72266,50600000
2006-01-02T11:56:00+00:00,1.72271,1.72271,1.72257,1.72267,76600000
2006-01-02T11:58:00+00:00,1.72264,1.72267,1.72246,1.72246,47200000
2006-01-02T12:00:00+00:00,1.72259,1.72268,1.72252,1.72264,32500000
2006-01-02T12:01:00+00:00,1.72272,1.72272,1.72262,1.72262,62400000
2006-01-02T12:02:00+00:00,1.72262,1.72265,1.72257,1.72257,68500000
2006-01-02T12:03:00+00:00,1.7227,1.72274,1.72263,1.72263,21700000
2006-01-02T12:04:00+00:00,1.72261,1.72265,1.72256,1.72257,34300000
2006-01-02T12:05:00+00:00,1.72253,1.72273,1.72253,1.72273,14300000
2006-01-02T12:06:00+00:00,1.72265,1.72265,1.72255,1.72257,24400000
2006-01-02T12:07:00+00:00,1.72263,1.72267,1.72262,1.72267,23900000
2006-01-02T12:08:00+00:00,1.7227,1.7227,1.7225,1.7225,35000000
2006-01-02T12:09:00+00:00,1.72259,1.72259,1.72256,1.72256,19800000
2006-01-02T12:11:00+00:00,1.72257,1.72272,1.72257,1.72261,30800000
2006-01-02T12:12:00+00:00,1.72255,1.72261,1.72253,1.72253,65100000
2006-01-02T12:13:00+00:00,1.72258,1.7227,1.72256,1.72262,65100000
2006-01-02T12:14:00+00:00,1.7226,1.72266,1.72254,1.72255,55100000
2006-01-02T12:15:00+00:00,1.72255,1.72269,1.72255,1.72267,58800000
2006-01-02T12:16:00+00:00,1.72262,1.72272,1.72262,1.72263,47200000
2006-01-02T12:17:00+00:00,1.72266,1.72272,1.72262,1.72266,73800000
2006-01-02T12:18:00+00:00,1.72264,1.72264,1.72248,1.72253,101900000
2006-01-02T12:19:00+00:00,1.72257,1.72271,1.72255,1.72261,35100000
2006-01-02T12:20:00+00:00,1.72253,1.72267,1.72251,1.72265,98800000
2006-01-02T12:21:00+00:00,1.72251,1.72258,1.72251,1.72258,14700000
2006-01-02T12:22:00+00:00,1.72267,1.72267,1.72252,1.72254,40000000
2006-01-02T12:23:00+00:00,1.72258,1.72271,1.72247,1.72271,65600000
2006-01-02T12:24:00+00:00,1.72266,1.72267,1.72256,1.72263,36200000
2006-01-02T12:25:00+00:00,1.72266,1.72271,1.72249,1.72249,76900000
2006-01-02T12:26:00+00:00,1.72257,1.72261,1.72251,1.72259,97550000
2006-01-02T12:27:00+00:00,1.72257,1.72269,1.72257,1.7226,45200000
2006-01-02T12:28:00+00:00,1.72248,1.72257,1.72247,1.72252,63700000
2006-01-02T12:29:00+00:00,1.72261,1.72264,1.72253,1.72253,35200000
2006-01-02T12:30:00+00:00,1.72259,1.72266,1.7225,1.72255,68700000
2006-01-02T12:31:00+00:00,1.72259,1.72272,1.72259,1.72262,68250000
2006-01-02T12:32:00+00:00,1.72266,1.72266,1.72247,1.72247,42600000
2006-01-02T12:33:00+00:00,1.72253,1.72274,1.72253,1.7227,46900000
2006-01-02T12:34:00+00:00,1.7226,1.72263,1.72246,1.72263,58000000
2006-01-02T12:35:00+00:00,1.72258,1.72271,1.72256,1.72256,111000000
2006-01-02T12:36:00+00:00,1.72264,1.72274,1.72246,1.72246,95100000
2006-01-02T12:37:00+00:00,1.72251,1.7227,1.72251,1.72268,46600000
2006-01-02T12:38:00+00:00,1.72258,1.72265,1.72254,1.72254,29700000
2006-01-02T12:39:00+00:00,1.72258,1.72265,1.72254,1.7226,49000000
2006-01-02T12:40:00+00:00,1.72262,1.72271,1.72262,1.72266,45300000
2006-01-02T12:41:00+00:00,1.72262,1.7227,1.7226,1.7226,61700000
2006-01-02T12:42:00+00:00,1.72262,1.72271,1.72262,1.72266,41500000
2006-01-02T12:43:00+00:00,1.72269,1.72269,1.72253,1.72262,29800000
2006-01-02T12:44:00+00:00,1.72262,1.72262,1.7225,1.72262,49400000
2006-01-02T12:45:00+00:00,1.72258,1.72268,1.72256,1.72264,84200000
2006-01-02T12:46:00+00:00,1.72259,1.7226,1.72256,1.72257,27800000
2006-01-02T12:48:00+00:00,1.72257,1.72274,1.72257,1.72265,29800000
2006-01-02T12:49:00+00:00,1.72272,1.72272,1.72252,1.72271,90100000
2006-01-02T12:50:00+00:00,1.72272,1.72272,1.7225,1.72253,39100000
2006-01-02T12:51:00+00:00,1.72252,1.72259,1.72248,1.72252,95400000
2006-01-02T12:52:00+00:00,1.72247,1.72269,1.72247,1.7226,86200000
2006-01-02T12:53:00+00:00,1.72257,1.72271,1.72255,1.72271,25200000
2006-01-02T12:54:00+00:00,1.7227,1.7227,1.72254,1.72258,83200000
